Model_Name,Storage,Size,Camera,Processor,Insurance,Discounted_Price,Actiual_Price,off,Ratings,Review1,Review2
"Nothing Phone (2a) 5G (Black, 256 GB)",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,"₹27,999","₹29,999",6% off,,,
"Apple iPhone 15 (Blue, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,499","₹79,900",16% off,4.6,"17,653 Ratings","1,202 Reviews"
"Apple iPhone 15 (Green, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,499","₹79,900",16% off,4.6,"17,653 Ratings","1,202 Reviews"
"Apple iPhone 15 (Pink, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,999","₹79,900",16% off,4.6,"17,653 Ratings","1,202 Reviews"
"Apple iPhone 15 (Black, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹66,999","₹79,900",16% off,4.6,"17,653 Ratings","1,202 Reviews"
"Apple iPhone 14 (Starlight, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹56,999","₹69,900",18% off,4.6,"2,81,934 Ratings","11,132 Reviews"
"Apple iPhone 14 (Blue, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹56,999","₹69,900",18% off,4.6,"2,81,934 Ratings","11,132 Reviews"
"Apple iPhone 13 (Starlight, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year,"₹52,999","₹59,900",11% off,4.7,"2,78,415 Ratings","13,560 Reviews"
"Apple iPhone 14 (Purple, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹56,999","₹69,900",18% off,4.6,"2,81,934 Ratings","11,132 Reviews"
"Apple iPhone 13 (Pink, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year,"₹52,999","₹59,900",11% off,4.7,"2,78,415 Ratings","13,560 Reviews"
"Apple iPhone 13 (Blue, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year,"₹52,999","₹59,900",11% off,4.7,"2,78,415 Ratings","13,560 Reviews"
"Apple iPhone 13 (Green, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year,"₹52,999","₹59,900",11% off,4.7,"2,78,415 Ratings","13,560 Reviews"
"Apple iPhone 14 (Midnight, 128 GB)",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹57,499","₹69,900",17% off,4.6,"2,81,934 Ratings","11,132 Reviews"
"Apple iPhone 15 Plus (Black, 128 GB)",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹76,499","₹89,900",14% off,4.6,"3,484 Ratings",366 Reviews
